fecha,ibex_close,tasa_desempleo,prima,pib_trim_per_capita
1995-10-19,3313.10009765625,20.7,429.0,3.0
1995-10-20,3264.0,20.7,440.0,3.0
1995-10-23,3189.199951171875,20.7,438.0,3.0
1995-10-24,3201.0,20.7,444.0,3.0
1995-10-25,3256.0,20.7,446.0,3.0
1995-10-26,3231.5,20.7,443.0,3.0
1995-10-27,3214.800048828125,20.7,438.0,3.0
1995-10-30,3252.199951171875,20.7,440.0,3.0
1995-10-31,3277.300048828125,20.7,441.0,3.0
1995-11-02,3287.39990234375,20.7,436.0,3.0
1995-11-03,3278.0,20.7,432.0,3.0
1995-11-06,3269.699951171875,20.7,439.0,3.0
1995-11-07,3305.800048828125,20.7,436.0,3.0
1995-11-08,3316.60009765625,20.7,431.0,3.0
1995-11-09,3316.800048828125,20.7,431.0,3.0
1995-11-10,3298.800048828125,20.7,439.0,3.0
1995-11-13,3305.699951171875,20.7,437.0,3.0
1995-11-14,3325.60009765625,20.7,432.0,3.0
1995-11-15,3319.699951171875,20.7,430.0,3.0
1995-11-16,3364.39990234375,20.7,428.0,3.0
1995-11-17,3349.199951171875,20.7,427.0,3.0
1995-11-20,3384.300048828125,20.7,421.0,3.0
1995-11-21,3395.800048828125,20.7,421.0,3.0
1995-11-22,3454.800048828125,20.7,415.0,3.0
1995-11-23,3466.699951171875,20.7,412.0,3.0
1995-11-24,3510.300048828125,20.7,408.0,3.0
1995-11-27,3514.39990234375,20.7,400.0,3.0
1995-11-28,3491.5,20.7,402.0,3.0
1995-11-29,3504.60009765625,20.7,403.0,3.0
1995-11-30,3510.10009765625,20.7,413.0,3.0
1995-12-01,3543.5,20.5,405.0,3.0
1995-12-04,3530.89990234375,20.5,410.0,3.0
1995-12-05,3538.800048828125,20.5,413.0,3.0
1995-12-07,3528.39990234375,20.5,407.0,3.0
1995-12-11,3545.39990234375,20.5,405.0,3.0
1995-12-12,3546.5,20.5,399.0,3.0
1995-12-13,3533.0,20.5,400.0,3.0
1995-12-14,3554.300048828125,20.5,388.0,3.0
1995-12-15,3577.10009765625,20.5,383.0,3.0
1995-12-18,3566.39990234375,20.5,382.0,3.0
1995-12-19,3529.0,20.5,383.0,3.0
1995-12-20,3601.5,20.5,378.0,3.0
1995-12-21,3623.699951171875,20.5,371.0,3.0
1995-12-22,3633.800048828125,20.5,368.0,3.0
1995-12-26,3633.800048828125,20.5,368.0,3.0
1995-12-27,3537.39990234375,20.5,368.0,3.0
1995-12-28,3599.199951171875,20.5,368.0,3.0
1995-12-29,3630.800048828125,20.5,371.0,3.0
1996-01-02,3685.39990234375,20.4,365.0,3.1
1996-01-03,3717.699951171875,20.4,360.0,3.1
1996-01-04,3718.199951171875,20.4,352.0,3.1
1996-01-05,3693.5,20.4,358.0,3.1
1996-01-08,3696.60009765625,20.4,360.0,3.1
1996-01-09,3689.699951171875,20.4,358.0,3.1
1996-01-10,3655.699951171875,20.4,358.0,3.1
1996-01-11,3651.300048828125,20.4,362.0,3.1
1996-01-12,3679.300048828125,20.4,359.0,3.1
1996-01-15,3680.10009765625,20.4,353.0,3.1
1996-01-16,3703.60009765625,20.4,353.0,3.1
1996-01-17,3718.300048828125,20.4,354.0,3.1
1996-01-18,3735.39990234375,20.4,350.0,3.1
